# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
154		1849		20922		3346
155		1847		20924		3346
156		1844		20926		3344
157		1842		20927		3343
158		1841		20928		3345
159		1841		20928		3345
160		1841		20928		3345
161		1841		20928		3345
162		1841		20928		3345
163		1841		20928		3345
164		1841		20928		3345
165		1840		20929		3344
166		1840		20929		3344
167		1840		20929		3344
168		1840		20929		3344
169		1840		20929		3344
170		1840		20929		3344
171		1840		20929		3344
172		1839		20930		3345
173		1839		20930		3345
174		1837		20931		3347
175		1835		20933		3346
176		1835		20933		3346
177		1835		20933		3346
178		1835		20933		3346
179		1835		20933		3346
180		1835		20933		3346
181		1835		20933		3346
182		1835		20933		3346
183		1835		20933		3346
184		1835		20933		3346
185		1835		20933		3346
186		1835		20933		3346
187		1835		20933		3346
188		1835		20933		3346
189		1835		20933		3346
190		1835		20933		3346
191		1835		20933		3346
192		1835		20933		3346
193		1835		20933		3346
194		1835		20933		3346
195		1835		20933		3346
196		1835		20933		3346
197		1835		20933		3346
198		1835		20933		3346
199		1835		20933		3346
200		1838		20935		3346
201		1839		20940		3347
202		1847		20948		3351
203		1851		20962		3355
204		1852		20985		3354
205		1856		21006		3354
206		1853		21024		3352
207		1860		21040		3357
208		1866		21060		3358
209		1870		21088		3356
210		1869		21113		3356
211		1877		21133		3351
212		1881		21154		3352
213		1885		21183		3346
214		1882		21223		3351
215		1878		21263		3350
216		1889		21299		3358
217		1888		21344		3365
218		1888		21387		3361
219		1891		21428		3354
220		1892		21475		3359
221		1884		21526		3367
222		1880		21566		3358
223		1870		21606		3363
224		1874		21653		3359
225		1867		21694		3358
226		1869		21729		3366
227		1872		21770		3353
228		1870		21809		3360
229		1871		21849		3359
230		1862		21926		3364
231		1868		21986		3362
232		1875		22067		3357
233		1877		22136		3358
234		1881		22200		3352
235		1878		22255		3348
236		1882		22317		3344
237		1879		22398		3340
238		1885		22466		3355
239		1879		22530		3355
240		1872		22584		3357
241		1880		22647		3357
242		1870		22705		3362
243		1862		22757		3364
244		1854		22811		3362
245		1866		22880		3371
246		1850		22945		3377
247		1842		23004		3370
248		1838		23050		3373
249		1832		23119		3370
250		1823		23173		3358
251		1821		23236		3361
252		1809		23304		3356
253		1792		23360		3363
254		1803		23425		3375
255		1789		23484		3380
256		1767		23552		3383
257		1746		23615		3370
258		1741		23667		3371
259		1722		23726		3369
260		1723		23758		3366
261		1718		23794		3366
262		1705		23852		3361
263		1687		23888		3358
264		1683		23924		3354
265		1673		23962		3357
266		1667		23994		3364
267		1665		24015		3365
268		1660		24041		3366
269		1654		24065		3362
270		1653		24090		3362
271		1643		24120		3358
272		1641		24161		3360
273		1634		24188		3356
274		1636		24208		3351
275		1628		24226		3355
276		1620		24254		3355
277		1614		24266		3359
278		1609		24278		3364
279		1605		24290		3367
280		1604		24300		3368
281		1600		24311		3365
282		1596		24324		3363
283		1597		24339		3368
284		1597		24360		3364
285		1590		24374		3364
286		1584		24395		3363
287		1573		24415		3360
288		1570		24430		3365
289		1570		24449		3375
290		1562		24466		3372
